Wavelength (nm),Corrected Intensity
645.320800781,1.06965671178
645.65032959,1.06965671178
645.979736328,1.01326082202
646.309143066,0.986846386652
646.63848877,0.941095735285
646.967773438,1.03591434565
647.29699707,1.04322238453
647.626159668,1.07768203347
647.95526123,1.16746782443
648.284301758,1.16390745651
648.613342285,1.08302098594
648.942321777,0.955262889708
649.271179199,0.978227000917
649.600036621,1.08286650767
649.928833008,1.08005510028
650.257568359,1.01500901437
650.586242676,0.985889108235
650.914855957,1.03504744948
651.243408203,1.08357512146
651.571960449,1.11428570789
651.900390625,1.10635665563
652.228820801,1.05248381226
652.557189941,1.02301440512
652.885498047,1.04063687084
653.213684082,1.01586843792
653.541931152,1.01112828247
653.870056152,1.02342430855
654.198120117,1.01118912057
654.526123047,1.01148564565
654.854125977,1.02538086208
655.182006836,1.02174797518
655.509887695,1.0179821168
655.83770752,1.02484592016
656.165466309,1.02779665255
656.493164062,1.02478053978
656.820800781,1.01723063997
657.148376465,1.00719455131
657.475891113,1.01769533846
657.803405762,1.02016932941
658.13079834,1.00885884604
658.458190918,1.00846614113
658.785461426,0.995313310219
659.112731934,0.999765628688
659.439941406,1.0323525245
659.767089844,1.04920997626
660.094177246,1.01692905884
660.421264648,1.01917224777
660.74822998,1.0283930012
661.075134277,1.02679613937
661.402038574,1.04895696143
661.728881836,1.06668008406
662.055603027,1.08986409316
662.382324219,1.03615326974
662.708984375,0.999229554317
663.035583496,1.14612113765
663.362121582,1.15712290774
663.688659668,1.09059062227
664.015075684,1.05260083793
664.341491699,1.03241904511
664.667785645,1.11676098389
664.99407959,1.07895166545
665.3203125,1.03260809313
665.646484375,1.07482619253
665.972595215,1.08800428592
666.29864502,1.09401902324
666.624633789,1.09571657337
666.950561523,1.07488737138
667.276489258,1.05012572321
667.602294922,1.04908430885
667.928100586,1.03169703081
668.253845215,1.04097183471
668.579528809,1.07702198185
668.905090332,1.09536302891
669.230712891,1.09879937858
669.556213379,1.09174475791
669.881652832,1.056382346
670.20703125,0.989356434538
670.532409668,1.02269362235
670.857666016,1.0515984311
671.182922363,1.0285316984
671.508117676,1.03074561503
671.833251953,1.05394725627
672.158325195,1.10400420908
672.483337402,1.04359145779
672.808288574,0.998085916035
673.133239746,1.04428769656
673.458068848,1.02088984929
673.782836914,1.02821101503
674.10760498,1.01555295167
674.432312012,0.97999465095
674.756958008,1.00667253055
675.081542969,1.02094795115
675.406066895,1.02435008434
675.730529785,1.04434855103
676.054931641,1.10722299516
676.379333496,1.05847610278
676.703613281,0.959560622081
677.027893066,1.02104473662
677.352050781,1.0827767941
677.676208496,1.08767384834
678.000305176,1.07152387424
678.32434082,1.05202830619
678.64831543,1.09755931592
678.972229004,1.10547798345
679.296142578,1.06672146814
679.619934082,1.02751589601
679.943725586,1.05620687015
680.26739502,1.0804970895
680.591064453,1.07748656147
680.914672852,1.08978667368
681.238220215,1.09935102368
681.561706543,1.05874657632
681.885131836,1.02896322749
682.208496094,1.04570758807
682.531860352,1.06248333222
682.855102539,1.03507857502
683.178344727,1.02480650688
683.501464844,1.11050433376
683.824584961,1.13887982607
684.147644043,1.09552775725
684.47064209,1.01660552945
684.793579102,1.00613101477
685.116455078,1.0435164955
685.43927002,1.05646846378
685.762084961,1.07560506175
686.084777832,1.05012544601
686.407470703,1.05678719839
686.730102539,1.08351268405
687.05267334,1.06990700909
687.37512207,1.02598431166
687.697631836,1.0453372066
688.020019531,1.07027615629
688.342346191,1.05996716167
688.664611816,1.04560501008
688.986877441,1.06280145627
689.309020996,1.1029577331
689.631164551,1.08384147663
689.95324707,1.0957406648
690.275268555,1.14718763251
690.597167969,1.12431093035
690.919128418,1.06705525465
691.240966797,1.03055040037
691.562744141,1.01004714562
691.884521484,1.07076843689
692.206176758,1.13382784319
692.527832031,1.10677503207
692.849365234,1.10765584475
693.170898438,1.10642152344
693.492370605,1.05928023519
693.813781738,1.05983541335
694.135131836,1.05380092259
694.456420898,1.07964952124
694.777709961,1.09921280166
695.098876953,1.02744161637
695.420043945,1.02826581917
695.741088867,1.09701769732
696.062133789,1.08020863791
696.383117676,1.02779592228
696.704040527,1.05768226334
697.024902344,1.08156558505
697.345703125,1.07426422131
697.666503906,1.05263919341
697.987182617,1.05942617069
698.307861328,1.096961151
698.628417969,1.06944409688
698.948974609,1.06855914044
699.269470215,1.04699178948
699.58984375,1.03490770578
699.91027832,1.06067849275
700.23059082,1.04414563568
700.550842285,1.08354556717
700.871032715,1.13238721005
701.191223145,1.12082423621
701.511291504,1.08208104968
701.831359863,1.08341266919
702.151367188,1.05472627807
702.471252441,1.04125780542
702.791137695,1.07387201929
703.110961914,1.08306172758
703.430786133,1.0950683239
703.750488281,1.10470360349
704.070129395,1.112327441
704.389770508,1.1214614936
704.709289551,1.1202910684
705.028808594,1.0775284273
705.348266602,1.08380510258
705.667663574,1.12545986466
705.986999512,1.10318690291
706.306274414,1.04776440001
706.625488281,1.05458709557
706.944641113,1.05703311962
707.263793945,1.06554948729
707.582824707,1.06443255813
707.901855469,1.04603933404
708.220825195,1.05249218765
708.539733887,1.03975036974
708.858581543,1.08280815403
709.177368164,1.08411557627
709.49609375,1.04630657544
709.814758301,1.11075862486
710.133422852,1.07971555218
710.451965332,0.993008705092
710.770507812,1.03875701247
711.088928223,1.10595690673
711.407348633,1.06153040339
711.725708008,1.06162224726
712.044006348,1.07152033489
712.362243652,1.0581881295
712.680419922,1.09281447724
712.998535156,1.10144729955
713.316650391,1.13547797708
713.634643555,1.13042050816
713.952636719,1.07557747727
714.270568848,1.08871880699
714.588439941,1.07899710806
714.90625,1.05353178759
715.223999023,1.07284171401
715.541687012,1.05627553637
715.859313965,1.07301191847
716.176879883,1.0982507061
716.494445801,1.1134390021
716.811889648,1.08554075938
717.129333496,1.06624427311
717.446716309,1.09729721943
717.764038086,1.11707108996
718.081298828,1.11845425764
718.398498535,1.0574402477
718.715637207,1.07468295865
719.032714844,1.09610060275
719.34979248,1.09798978338
719.666748047,1.0978472546
719.983703613,1.08835272586
720.300598145,1.08588398332
720.617431641,1.07975427308
720.934143066,1.07756498412
721.250854492,1.03793350827
721.567565918,1.04338670626
721.884155273,1.07550200283
722.200683594,1.08408586775
722.517211914,1.06750157887
722.833618164,1.07772740697
723.150024414,1.08158653465
723.466369629,1.06124938602
723.782592773,1.07442409142
724.098876953,1.08339855631
724.415039062,1.08692019933
724.731140137,1.08692659984
725.047180176,1.056097346
725.36315918,1.09662031849
725.679138184,1.08002542631
725.994995117,1.01715494774
726.310852051,1.03486155644
726.626647949,1.06352825124
726.942382812,1.10769388466
727.258056641,1.11322836397
727.573669434,1.08496457537
727.889221191,1.08019454002
728.204772949,1.06673849383
728.520202637,1.07390054542
728.835632324,1.10207045318
729.150939941,1.06248317628
729.466247559,1.05441131261
729.781494141,1.09219685343
730.096679688,1.07261448299
730.411804199,1.07352677334
730.726867676,1.07190265035
731.041870117,1.05495717727
731.356872559,1.07774534872
731.67175293,1.06386640988
731.986633301,1.0542275046
732.301452637,1.05869446046
732.616210938,1.05725695902
732.930847168,1.09580499583
733.245483398,1.07694311376
733.560119629,1.03463768063
733.874633789,1.07458388951
734.189086914,1.11023808136
734.503540039,1.07930568305
734.817871094,1.08676193751
735.132202148,1.10795621011
735.446411133,1.0674314622
735.760620117,1.05336958905
736.074768066,1.08589047446
736.38885498,1.07415409941
736.702941895,1.06858578828
737.016906738,1.06885068033
737.330810547,1.03828669996
737.644714355,1.03805207587
737.958496094,1.05203066889
738.272277832,1.03581627672
738.585998535,1.02337460721
738.899658203,1.07119361753
739.213256836,1.11658231811
739.526794434,1.13103838764
739.840270996,1.10163819926
740.153686523,1.0678017011
